customer_name,state,product_category,total_amount
Chioma Chukwu,Kano,Home & Kitchen,59614.0
Segun Lawal,Kano,Fashion,93488.0
Chukwuemeka Abubakar,KADUNA,Food & Drinks,30845.0
Nneka Mohammed,Rivers,Electronics,170524.0
Aisha Abubakar,ABUJA,Fashion,46701.0
Ifeanyi Adeyemi,Ogun,Home & Kitchen,112132.0
Yusuf Adeleke,Abuja,Beauty & Health,59004.0
Ngozi Okonkwo,Kaduna,Home & Kitchen,105772.0
Musa Mohammed,rivers,Electronics,223600.0
Zainab Adeyemi,DELTA,Beauty & Health,59056.0
Amina Abubakar,Kaduna,Fashion,43006.0
Oluwaseun Lawal,lagos,Home & Kitchen,137084.0
Ngozi Nwosu,Abuja,Electronics,102291.0
Musa Nwosu,kano,Electronics,200875.0
Kemi Musa,Kano,Electronics,102000.0
Aisha Garba,Kano,Electronics,84458.0
Yusuf Nwachukwu,KANO,Electronics,141660.0
Chidi Obiora,abuja,Fashion,74595.0
Zainab Musa,kaduna,Home & Kitchen,170735.0
Ifeanyi Chukwu,Kaduna,Beauty & Health,58924.0
Musa Garba,anambra,Home & Kitchen,33036.0
Rukayat Lawal,OYO,Electronics,42437.0
Obinna Eze,ABUJA,Home & Kitchen,42315.0
Kemi Garba,KANO,Beauty & Health,86390.0
Obinna Okafor,Rivers,Electronics,153968.0
Ifeanyi Adeyemi,Kaduna,Electronics,52422.0
Babatunde Okafor,Kano,Home & Kitchen,33413.0
Fatima Okonkwo,Oyo,Electronics,144420.0
Babatunde Musa,anambra,Electronics,55530.0
Ngozi Garba,Rivers,Electronics,176230.0
Aisha Okonkwo,Lagos,Fashion,68104.0
Yusuf Garba,Delta,Electronics,39482.0
Chidi Obiora,LAGOS,Electronics,75106.0
Obinna Okonkwo,delta,Electronics,66411.0
Blessing Adeleke,kano,Electronics,39585.0
Chioma Adeleke,Kaduna,Electronics,79578.0
Blessing Usman,Ogun,Home & Kitchen,37348.0
Chidi Mohammed,Kaduna,Electronics,114624.0
Aisha Obiora,kaduna,Fashion,53667.0
Segun Okonkwo,Kano,Fashion,74628.0
Musa Mohammed,kaduna,Home & Kitchen,120832.0
Kemi Ogundipe,delta,Beauty & Health,51472.0
Yusuf Bello,Abuja,Fashion,121280.0
Yusuf Chukwu,Kaduna,Home & Kitchen,123992.0
Aisha Salami,LAGOS,Electronics,80760.0
Segun Adeyemi,Kano,Home & Kitchen,149620.0
Amina Bello,OYO,Beauty & Health,36056.0
Zainab Obi,KANO,Electronics,171840.0
Kemi Bello,kano,Fashion,50382.0
Ngozi Chukwu,ogun,Home & Kitchen,37677.0
Tunde Bello,ABUJA,Fashion,54576.0
Oluwaseun Obiora,RIVERS,Home & Kitchen,32228.0
Yusuf Bello,LAGOS,Home & Kitchen,42255.0
Blessing Nwosu,Kano,Home & Kitchen,30312.0
Obinna Musa,Kano,Electronics,129480.0
Yusuf Yusuf,kano,Electronics,92024.0
Damilola Chukwu,Lagos,Electronics,134628.0
Chidi Obi,Rivers,Home & Kitchen,60118.0
Halima Nwosu,oyo,Electronics,74552.0
Aisha Chukwu,Lagos,Fashion,58450.0
Oluwaseun Chukwu,ogun,Food & Drinks,31540.0
Damilola Lawal,anambra,Home & Kitchen,46185.0
Zainab Ogundipe,delta,Home & Kitchen,130576.0
Fatima Abubakar,Kaduna,Electronics,39006.0
Tunde Nwosu,Enugu,Fashion,31353.0
Halima Abubakar,Rivers,Home & Kitchen,31951.0
Emeka Adeleke,Kaduna,Electronics,111116.0
Tunde Nwosu,Oyo,Fashion,45840.0
Amina Nwachukwu,Lagos,Electronics,59091.0
Yusuf Okafor,Rivers,Home & Kitchen,32548.0
Amina Bello,LAGOS,Electronics,39852.0
Damilola Salami,ABUJA,Fashion,71960.0
Fatima Usman,Kano,Electronics,38755.0
Tunde Lawal,Enugu,Fashion,38720.0
Obinna Garba,Rivers,Beauty & Health,63932.0
Ifeanyi Bello,Kaduna,Beauty & Health,71992.0
Chukwuemeka Salami,Rivers,Fashion,81196.0
Halima Ogundipe,Ogun,Fashion,113190.0
Chukwuemeka Okonkwo,Kano,Fashion,90050.0
Segun Nwachukwu,Delta,Beauty & Health,59885.0
Ngozi Musa,Enugu,Fashion,99572.0
Rukayat Mohammed,Abuja,Electronics,48276.0
Fatima Okafor,Enugu,Fashion,37788.0
Zainab Garba,Anambra,Electronics,56976.0
Segun Adeleke,Rivers,Beauty & Health,31650.0
Oluwaseun Obi,Lagos,Electronics,193525.0
Kemi Chukwu,rivers,Electronics,140135.0
Adaeze Nwachukwu,Kaduna,Electronics,78692.0
Ibrahim Abubakar,Enugu,Fashion,31974.0
Obinna Ogundipe,kano,Fashion,46185.0
Chukwuemeka Adeleke,Enugu,Electronics,30195.0
Halima Nwachukwu,Kaduna,Electronics,75224.0
Adaeze Lawal,Oyo,Home & Kitchen,69148.0
Halima Mohammed,Kano,Food & Drinks,35385.0
Chidi Adeleke,ogun,Electronics,86144.0
Oluwaseun Yusuf,RIVERS,Beauty & Health,78895.0
Ibrahim Bello,rivers,Beauty & Health,64825.0
Halima Adeyemi,Lagos,Food & Drinks,32015.0
Kemi Abubakar,Kaduna,Fashion,35409.0
Blessing Garba,KANO,Home & Kitchen,63339.0
Zainab Obiora,ABUJA,Electronics,124376.0
Zainab Salami,Abuja,Beauty & Health,39045.0
Chukwuemeka Okonkwo,Abuja,Home & Kitchen,172605.0
Ifeanyi Mohammed,Enugu,Electronics,39550.0
Ibrahim Obi,Kaduna,Fashion,123380.0
Blessing Nwosu,ogun,Fashion,57020.0
Emeka Ogundipe,oyo,Home & Kitchen,68680.0
Obinna Obi,ABUJA,Home & Kitchen,96093.0
Kemi Bello,Delta,Home & Kitchen,58530.0
Segun Chukwu,Delta,Fashion,74112.0
Tunde Abubakar,ENUGU,Beauty & Health,77410.0
Emeka Musa,Abuja,Beauty & Health,44949.0
Ngozi Eze,OYO,Fashion,70806.0
Chioma Ogundipe,DELTA,Beauty & Health,73140.0
Rukayat Nwachukwu,Delta,Beauty & Health,84300.0
Amina Obiora,Rivers,Home & Kitchen,66916.0
Fatima Abubakar,anambra,Fashion,47589.0
Emeka Bello,KADUNA,Beauty & Health,46014.0
Emeka Okonkwo,Enugu,Electronics,107853.0
Oluwaseun Okafor,KANO,Fashion,50748.0
Rukayat Abubakar,DELTA,Electronics,40676.0
Babatunde Abubakar,RIVERS,Home & Kitchen,64464.0
Chidi Eze,ogun,Beauty & Health,32620.0
